id,label,frequency,degree,weighted_degree
world,world,1715,146,10330
thing,thing,1484,149,9460
don,don,1023,82,2396
leader,leader,781,131,4542
run,run,2450,149,14007
win,win,2926,149,15557
people,people,5062,149,34081
totally,totally,837,141,5670
tell,tell,942,140,4936
bring,bring,1103,145,7999
left,left,964,146,10387
happen,happen,1349,148,9117
case,case,1324,136,8529
real,real,844,134,4078
leave,leave,807,134,4651
lead,lead,919,144,6518
big,big,3697,149,20330
border,border,2216,148,21706
endorsement,endorsement,1327,124,18640
wonderful,wonderful,855,139,6761
donald,donald,2542,148,9997
good,good,3480,149,15939
need,need,2087,148,9589
strong,strong,1304,144,10953
look,look,2271,149,10851
amazing,amazing,782,118,3345
start,start,983,142,5751
country,country,4723,149,30729
far,far,1046,145,7295
party,party,951,144,6572
bad,bad,2358,149,13558
total,total,1811,149,21760
right,right,1459,149,8478
crooked,crooked,1334,146,11132
maga,maga,1057,145,8163
want,want,2965,149,17214
true,true,1175,139,4658
night,night,1055,127,4296
year,year,2892,149,17173
russia,russia,1052,121,4660
hard,hard,1426,149,13611
bill,bill,806,132,4426
history,history,1380,148,11315
book,book,871,104,3374
administration,administration,811,144,6117
think,think,1786,146,7814
security,security,868,139,5844
president,president,5551,149,27491
china,china,1483,131,5860
nation,nation,874,146,6483
change,change,749,133,3754
new,new,3763,149,20482
believe,believe,796,130,4269
states,states,1886,147,15450
thank,thank,6724,148,17292
money,money,1097,140,6174
amendment,amendment,967,116,15561
order,order,930,147,7791
pay,pay,1101,140,5933
america,america,4248,149,28351
republican,republican,1438,146,10809
economy,economy,1115,138,12705
day,day,1958,149,10692
biden,biden,2389,148,17153
judge,judge,919,125,6512
radical,radical,1022,146,11016
fantastic,fantastic,761,115,6938
report,report,813,129,4284
end,end,990,147,7311
high,high,944,144,5534
corrupt,corrupt,823,136,7159
interview,interview,1076,96,2518
office,office,824,138,5331
soon,soon,835,130,4059
time,time,3145,149,18484
state,state,2648,149,19346
energy,energy,855,137,9668
great,great,11336,149,55354
stop,stop,1374,147,12527
hillary,hillary,988,114,3779
live,live,779,101,2551
secure,secure,913,114,13562
congressman,congressman,745,104,9479
usa,usa,818,131,4776
support,support,1454,145,14190
trump,trump,9795,149,33099
include,include,880,147,7942
congress,congress,837,138,8861
republicans,republicans,923,141,6414
debate,debate,750,96,2807
joe,joe,1895,148,14663
complete,complete,1349,140,19561
poll,poll,1241,120,5838
man,man,1107,144,5931
political,political,1090,148,9043
democrats,democrats,1928,148,13266
work,work,2861,149,22204
number,number,1058,140,6760
vote,vote,3042,147,15083
obama,obama,1828,136,5827
district,district,844,118,12862
united,united,1917,147,15232
incredible,incredible,956,133,10797
honor,honor,926,130,4849
american,american,2279,149,18631
talk,talk,958,137,4734
york,york,1256,146,8726
low,low,742,138,5438
let,let,1520,147,15020
story,story,821,123,4270
law,law,1366,141,11113
illegal,illegal,857,143,6333
house,house,1455,148,10224
fake,fake,2075,147,13560
second,second,1040,130,15594
family,family,866,140,5173
fact,fact,865,142,6350
news,news,2412,147,13177
watch,watch,1711,144,6967
beautiful,beautiful,795,130,4785
campaign,campaign,1244,147,8018
know,know,2542,149,16878
governor,governor,840,134,5814
court,court,871,137,6297
national,national,999,141,5463
presidential,presidential,919,144,6734
protect,protect,987,135,12028
fight,fight,1444,148,14572
lie,lie,752,124,4074
record,record,1148,146,7845
lose,lose,1062,141,6227
way,way,1701,149,10102
long,long,1353,149,9039
try,try,961,145,6277
business,business,991,141,5396
job,job,2610,149,17269
election,election,2973,149,22240
military,military,1409,141,17536
allow,allow,994,144,7602
place,place,946,145,6026
life,life,884,143,5683
love,love,1985,146,9819
come,come,2011,148,11927
democrat,democrat,913,144,7366
cut,cut,770,130,8188
help,help,1219,147,9267
justice,justice,781,136,5634
crime,crime,1385,144,12713
deal,deal,1453,137,6337
white,white,844,142,5436
